court_id,site_id,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3995300_-8293687:c002,oh_3995300_-8293687,tennis,hybrid,2019,2021,0.218,1,True,low_confidence
oh_4015701_-8310016:c007,oh_4015701_-8310016,pickleball,removed,2017,2019,0.218,1,True,low_confidence
oh_4130066_-8435446:c001,oh_4130066_-8435446,hybrid,tennis,2011,2013,0.228,1,True,low_confidence;reversion
oh_3995300_-8293687:c005,oh_3995300_-8293687,pickleball,tennis,2015,2019,0.23,1,True,low_confidence;reversion
oh_4156245_-8361928:c004,oh_4156245_-8361928,hybrid,pickleball,2015,2019,0.231,1,True,low_confidence
oh_3920361_-8359859:c001,oh_3920361_-8359859,tennis,removed,2011,2023,0.232,1,True,low_confidence
oh_3966876_-8410304:c001,oh_3966876_-8410304,tennis,removed,2013,2015,0.236,1,True,low_confidence
oh_3965642_-8410117:c005,oh_3965642_-8410117,tennis,hybrid,2013,2015,0.237,1,True,low_confidence
oh_3995559_-8349054:c002,oh_3995559_-8349054,removed,pickleball,2015,2017,0.239,1,True,low_confidence;reversion
oh_3967130_-8412897:c005,oh_3967130_-8412897,hybrid,removed,2013,2015,0.24,1,True,low_confidence
oh_3917985_-8431611:c001,oh_3917985_-8431611,hybrid,pickleball,2013,2019,0.243,1,True,low_confidence
oh_4016736_-8294557:c008,oh_4016736_-8294557,tennis,pickleball,2011,2017,0.243,1,True,low_confidence
oh_4057221_-8420133:c006,oh_4057221_-8420133,tennis,pickleball,2021,2023,0.245,1,True,low_confidence
oh_3971995_-8299144:c001,oh_3971995_-8299144,removed,hybrid,2017,2019,0.247,1,True,low_confidence;reversion
oh_3906631_-8437916:c001,oh_3906631_-8437916,hybrid,removed,2018,2019,0.248,1,True,low_confidence
oh_3967130_-8412897:c006,oh_3967130_-8412897,hybrid,pickleball,2011,2013,0.248,1,True,low_confidence
oh_4150486_-8293608:c019,oh_4150486_-8293608,removed,tennis,2015,2019,0.249,1,True,low_confidence;reversion
oh_4150486_-8293608:c019,oh_4150486_-8293608,tennis,removed,2019,2021,0.249,1,True,low_confidence
oh_4020895_-8330878:c001,oh_4020895_-8330878,tennis,removed,2021,2023,0.25,1,True,low_confidence
oh_4069568_-8465331:c001,oh_4069568_-8465331,tennis,removed,2013,2015,0.253,1,True,low_confidence
oh_4101380_-8365959:c001,oh_4101380_-8365959,tennis,removed,2015,2019,0.253,1,True,low_confidence
oh_3995300_-8293687:c006,oh_3995300_-8293687,pickleball,hybrid,2011,2019,0.254,1,True,low_confidence
oh_4150486_-8293608:c018,oh_4150486_-8293608,pickleball,removed,2011,2013,0.254,1,True,low_confidence
oh_3918508_-8438883:c006,oh_3918508_-8438883,tennis,hybrid,2019,2021,0.255,1,True,low_confidence
oh_3918508_-8438883:c006,oh_3918508_-8438883,hybrid,pickleball,2021,2023,0.255,,True,low_confidence
oh_4145711_-8163369:c001,oh_4145711_-8163369,hybrid,removed,2019,2021,0.255,1,True,low_confidence
oh_3912657_-8451097:c002,oh_3912657_-8451097,tennis,removed,2016,2018,0.26,1,True,low_confidence
oh_4009252_-8309596:c001,oh_4009252_-8309596,pickleball,removed,2021,2023,0.26,1,True,low_confidence
oh_3940001_-8410621:c002,oh_3940001_-8410621,pickleball,removed,2013,2015,0.263,1,True,low_confidence
oh_4020888_-8285136:c001,oh_4020888_-8285136,removed,tennis,2015,2023,0.263,1,True,low_confidence;reversion
oh_4001827_-8211764:c001,oh_4001827_-8211764,tennis,pickleball,2015,2017,0.265,,True,low_confidence
oh_3919370_-8463477:c001,oh_3919370_-8463477,tennis,removed,2021,2023,0.266,1,True,low_confidence
oh_4009028_-8302278:c005,oh_4009028_-8302278,removed,tennis,2015,2021,0.266,1,True,low_confidence;reversion
oh_4101103_-8163227:c002,oh_4101103_-8163227,hybrid,tennis,2021,2023,0.266,1,True,low_confidence;reversion
oh_3853334_-8267546:c001,oh_3853334_-8267546,tennis,hybrid,2018,2019,0.267,1,True,low_confidence
oh_3934891_-8427577:c009,oh_3934891_-8427577,hybrid,pickleball,2011,2013,0.268,,True,low_confidence
oh_3981968_-8430000:c001,oh_3981968_-8430000,tennis,removed,2019,2023,0.269,1,True,low_confidence
oh_4004708_-8297096:c002,oh_4004708_-8297096,pickleball,tennis,2019,2021,0.27,1,True,low_confidence;reversion
oh_4004708_-8297096:c002,oh_4004708_-8297096,tennis,removed,2021,2023,0.27,1,True,low_confidence
oh_3927351_-8446187:c001,oh_3927351_-8446187,removed,hybrid,2019,2021,0.273,1,True,low_confidence;reversion
oh_4094758_-8338284:c003,oh_4094758_-8338284,hybrid,tennis,2021,2023,0.273,1,True,low_confidence;reversion
oh_4009663_-8308016:c004,oh_4009663_-8308016,pickleball,hybrid,2019,2021,0.274,1,True,low_confidence
oh_3917305_-8470508:c003,oh_3917305_-8470508,hybrid,pickleball,2022,2023,0.275,1,True,low_confidence
oh_4012358_-8304591:c004,oh_4012358_-8304591,tennis,hybrid,2011,2015,0.276,1,True,low_confidence
oh_4112070_-8187284:c004,oh_4112070_-8187284,tennis,removed,2021,2023,0.277,1,True,low_confidence
oh_3874385_-8297608:c010,oh_3874385_-8297608,tennis,pickleball,2014,2015,0.278,1,True,low_confidence
oh_3876426_-8288919:c001,oh_3876426_-8288919,tennis,removed,2015,2017,0.278,1,True,low_confidence
oh_3974108_-8380416:c002,oh_3974108_-8380416,tennis,removed,2017,2019,0.279,1,True,low_confidence
oh_3995300_-8293687:c001,oh_3995300_-8293687,tennis,removed,2011,2015,0.28,1,True,low_confidence
oh_3918069_-8446873:c001,oh_3918069_-8446873,hybrid,pickleball,2013,2019,0.282,,True,low_confidence
oh_4001827_-8211764:c002,oh_4001827_-8211764,tennis,pickleball,2015,2017,0.282,1,True,low_confidence
oh_4034918_-8375428:c001,oh_4034918_-8375428,tennis,hybrid,2015,2017,0.282,1,True,low_confidence
oh_4034918_-8375428:c001,oh_4034918_-8375428,hybrid,tennis,2017,2019,0.282,1,True,low_confidence;reversion
