court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_3852671_-8266865:fe38fbc,oh_3852671_-8266865,way/1281257803,tennis,court,,38.526895,-82.6685105,23.8,11.0,149.1,1,0,0,False,False,False,,"[[-82.6683607, 38.5268847], [-82.6685972, 38.5269914], [-82.6686603, 38.5269052], [-82.6684238, 38.5267985]]"
oh_3852671_-8266865:f2a021b,oh_3852671_-8266865,way/1281257804,tennis,court,,38.5267791,-82.6685955,23.8,11.0,149.1,1,0,0,False,False,False,,"[[-82.6684457, 38.5267688], [-82.6686823, 38.5268755], [-82.6687453, 38.5267893], [-82.6685087, 38.5266826]]"
oh_3852671_-8266865:f5b9d19,oh_3852671_-8266865,way/1281257805,tennis,court,,38.5266362,-82.6686981,23.8,11.0,149.1,1,0,0,False,False,False,,"[[-82.6685484, 38.526626], [-82.6687849, 38.5267327], [-82.6688479, 38.5266465], [-82.6686114, 38.5265398]]"
oh_3852671_-8266865:fe8b8d2,oh_3852671_-8266865,way/1281257806,tennis,court,,38.526523,-82.6687841,23.8,11.0,149.1,1,0,0,False,False,False,,"[[-82.6686344, 38.5265127], [-82.6688709, 38.5266195], [-82.6689339, 38.5265333], [-82.6686974, 38.5264265]]"
oh_3853334_-8267546:f956d61,oh_3853334_-8267546,way/1154619827,tennis,court,,38.5333366,-82.6754585,23.6,11.2,31.8,1,0,0,False,False,False,,"[[-82.6755373, 38.5332366], [-82.6753101, 38.5333518], [-82.6753798, 38.5334366], [-82.675607, 38.5333214]]"
oh_3853873_-8268786:f148afa,oh_3853873_-8268786,way/1474822646;way/1474822647;way/1474822648;way/1474822649;way/1474822650;way/1474822651,pickleball,court,,38.5387828,-82.6877905,24.9,16.7,134.5,2,3,0,True,False,False,pickleball_cluster,"[[-82.6876214, 38.538758], [-82.6878253, 38.5389151], [-82.6879596, 38.5388076], [-82.6877557, 38.5386505]]"
oh_3853873_-8268786:f2832cf,oh_3853873_-8268786,way/1474822646,pickleball,pb_child,oh_3853873_-8268786:f148afa,38.5388499,-82.6878542,13.7,6.4,43.9,1,0,0,False,False,False,,"[[-82.6878838, 38.5387859], [-82.6877727, 38.5388732], [-82.6878246, 38.538914], [-82.6879357, 38.5388267]]"
oh_3853873_-8268786:fabc1a6,oh_3853873_-8268786,way/1474822647,pickleball,pb_child,oh_3853873_-8268786:f148afa,38.5387927,-82.6877793,13.7,6.4,43.9,1,0,0,False,False,False,,"[[-82.687809, 38.5387288], [-82.6876978, 38.538816], [-82.6877496, 38.5388567], [-82.6878607, 38.5387695]]"
oh_3853873_-8268786:f33279c,oh_3853873_-8268786,way/1474822648,pickleball,pb_child,oh_3853873_-8268786:f148afa,38.5387346,-82.6877043,13.7,6.4,43.9,1,0,0,False,False,False,,"[[-82.687734, 38.5386706], [-82.6876229, 38.5387578], [-82.6876747, 38.5387985], [-82.6877858, 38.5387113]]"
oh_3853873_-8268786:ff88649,oh_3853873_-8268786,way/1474822646;way/1474822647;way/1474822648;way/1474822649;way/1474822650;way/1474822651,pickleball,court,,38.5386753,-82.6879248,24.9,16.7,134.5,2,3,0,True,False,False,pickleball_cluster,"[[-82.6877557, 38.5386505], [-82.6879596, 38.5388076], [-82.6880939, 38.5387], [-82.68789, 38.5385429]]"
