site_id,lat,lon,n_features,sports,has_tennis,has_pickleball,has_padel,extent_m,oversized,any_indoor,osm_refs,state
oh_3908015_-8461682,39.080151,-84.616819,1,tennis,True,False,False,37.7,False,False,way/79451391,OH
oh_3908282_-8462567,39.082822,-84.625671,2,tennis,True,False,False,61.3,False,False,way/79451022;way/79451042,OH
oh_3908406_-8462136,39.084062,-84.621363,1,tennis,True,False,False,36.2,False,False,way/202271181,OH
oh_3908383_-8462934,39.083834,-84.629339,1,tennis,True,False,False,40.2,False,False,way/79450961,OH
oh_3908555_-8459768,39.085545,-84.59768,4,tennis,True,False,False,82.1,False,False,way/1488989488;way/1488989489;way/1488989490;way/1488989491,OH
oh_3908590_-8462874,39.085899,-84.628736,1,tennis,True,False,False,40.9,False,False,way/79450957,OH
oh_3908846_-8459179,39.088457,-84.591789,2,tennis,True,False,False,27.5,False,False,way/1488989407;way/1488989408,OH
oh_3908741_-8462895,39.087405,-84.62895,1,tennis,True,False,False,39.8,False,False,way/79450952,OH
oh_3909139_-8463436,39.091385,-84.634357,1,tennis,True,False,False,39.5,False,False,way/48988774,OH
oh_3909556_-8456863,39.095559,-84.568629,6,tennis,True,False,False,93.4,False,False,way/56394986;way/1138133606;way/1138133607;way/1138133608;way/1138133611;way/1138133612,OH
oh_3909546_-8464147,39.095464,-84.641473,1,tennis,True,False,False,85.7,False,False,way/183255014,OH
oh_3909865_-8463312,39.098651,-84.633117,2,tennis,True,False,False,28.0,False,False,way/1488989806;way/1488989807,OH
oh_3910137_-8462545,39.101368,-84.625446,1,tennis,True,False,False,24.5,False,False,way/79455106,OH
oh_3910197_-8461058,39.101969,-84.610585,2,tennis,True,False,False,30.3,False,False,way/56395352;way/1138174499,OH
oh_3911334_-8460911,39.113342,-84.609111,1,pickleball,False,True,False,13.6,False,False,way/756815063,OH
oh_3911281_-8464175,39.112812,-84.641752,1,tennis,True,False,False,33.1,False,False,way/79456729,OH
oh_3911816_-8455138,39.118161,-84.551376,2,tennis,True,False,False,30.0,False,False,way/1488989252;way/1488989253,OH
oh_3912431_-8456662,39.124309,-84.566617,5,tennis,True,False,False,62.6,False,False,way/56235508;way/56235510;way/520776187;way/520776188;way/520776189,OH
oh_3912589_-8464327,39.125887,-84.643271,1,tennis,True,False,False,36.7,False,False,way/79464655,OH
oh_3913209_-8468421,39.132094,-84.684209,2,tennis,True,False,False,55.0,False,False,way/79474814;way/79474832,OH
oh_3913491_-8461064,39.134914,-84.610637,3,tennis,True,False,False,59.6,False,False,way/45474702;way/520776190;way/520776191,OH
oh_3913488_-8463969,39.134877,-84.639687,3,tennis,True,False,False,111.3,False,False,way/79471577;way/79471594;way/79471663,OH
oh_3913883_-8461024,39.13883,-84.610242,1,tennis,True,False,False,36.8,False,False,way/45475428,OH
oh_3914175_-8465730,39.141749,-84.657303,1,tennis,True,False,False,39.9,False,False,way/79472398,OH
oh_3914381_-8460761,39.143806,-84.607606,1,tennis,True,False,False,37.6,False,False,way/48487447,OH
oh_3914711_-8458754,39.147112,-84.587536,5,tennis,True,False,False,74.6,False,False,way/1447809401;way/1447809402;way/1447809403;way/1447809404;way/1447809405,OH
oh_3914712_-8464763,39.147122,-84.647633,5,tennis,True,False,False,63.7,False,False,way/79466667;way/1490876104;way/1490876105;way/1490876106;way/1490876107,OH
oh_3915320_-8458811,39.153199,-84.588108,1,tennis,True,False,False,36.9,False,False,way/33678005,OH
oh_3915392_-8458530,39.153923,-84.585296,1,tennis,True,False,False,39.0,False,False,way/33678002,OH
oh_3915311_-8466972,39.15311,-84.669717,1,tennis,True,False,False,47.7,False,False,way/80217721,OH
oh_3915569_-8461994,39.155688,-84.619938,3,tennis,True,False,False,42.0,False,False,way/1490876212;way/1490876213;way/1490876214,OH
oh_3916667_-8459136,39.166671,-84.591358,1,pickleball,False,True,False,24.7,False,False,way/1380166048,OH
oh_3917439_-8459248,39.174393,-84.592476,1,tennis,True,False,False,41.3,False,False,way/80912452,OH
oh_3917305_-8470508,39.173048,-84.705077,4,pickleball;tennis,True,True,False,63.4,False,False,way/1490873969;way/1490873970;way/1490873971;way/1490873972,OH
oh_3917402_-8474933,39.174025,-84.749333,3,tennis,True,False,False,44.4,False,False,way/632030076;way/632030077;way/632030078,OH
oh_3918154_-8460075,39.181541,-84.600753,2,tennis,True,False,False,39.1,False,False,way/80644128;way/520980146,OH
oh_3918602_-8458759,39.186016,-84.58759,5,tennis,True,False,False,75.7,False,False,way/661269294;way/661269297;way/1171006817;way/1171006818;way/1171006819,OH
oh_3918901_-8459899,39.189006,-84.598989,1,tennis,True,False,False,38.8,False,False,way/80641744,OH
oh_3919046_-8466010,39.190459,-84.660098,1,tennis,True,False,False,40.8,False,False,way/100764414,OH
oh_3919299_-8463621,39.192989,-84.636207,1,tennis,True,False,False,39.8,False,False,way/201071829,OH
oh_3919370_-8463477,39.193698,-84.634771,1,tennis,True,False,False,42.4,False,False,way/201071893,OH
oh_3919868_-8457558,39.198683,-84.575585,5,tennis,True,False,False,84.7,False,False,way/1311830222;way/1311830223;way/1311830224;way/1311830225;way/1311830226,OH
oh_3919537_-8469903,39.195374,-84.699029,1,tennis,True,False,False,39.6,False,False,way/201880928,OH
oh_3920273_-8462680,39.202729,-84.626795,1,tennis,True,False,False,43.0,False,False,way/175819114,OH
oh_3920446_-8463296,39.20446,-84.632963,1,tennis,True,False,False,40.9,False,False,way/80913050,OH
oh_3920958_-8456103,39.209582,-84.56103,1,tennis,True,False,False,38.6,False,False,way/56394222,OH
oh_3920949_-8461624,39.209491,-84.616243,1,tennis,True,False,False,36.1,False,False,way/201071903,OH
oh_3921728_-8456427,39.217276,-84.564265,5,pickleball;tennis,True,True,False,44.1,False,False,way/1490874113;way/1490874114;way/1490874115;way/1490874116;way/1490874117,OH
oh_3921690_-8462735,39.216902,-84.62735,1,tennis,True,False,False,38.4,False,False,way/201071954,OH
oh_3921640_-8471116,39.216402,-84.711157,1,tennis,True,False,False,29.4,False,False,way/1169187961,OH
oh_3922513_-8462281,39.225128,-84.622812,1,tennis,True,False,False,47.5,False,False,way/80913084,OH
oh_3922781_-8460108,39.227812,-84.601075,2,tennis,True,False,False,72.9,False,False,way/33114630;way/479160802,OH
oh_3922918_-8463207,39.229184,-84.632068,4,pickleball;tennis,True,True,False,29.3,False,False,way/1490874049;way/1490874050;way/1490874051;way/1490874052,OH
oh_3923302_-8460472,39.233023,-84.604723,5,tennis,True,False,False,64.6,False,False,way/1360476412;way/1360476413;way/1360476414;way/1360476415;way/1360476416,OH
oh_3925479_-8460863,39.254793,-84.608632,1,tennis,True,False,False,41.1,False,False,way/94876938,OH
oh_3925216_-8480120,39.252163,-84.801204,1,tennis,True,False,False,42.3,False,False,way/154456192,OH
oh_3925499_-8477143,39.254992,-84.771431,5,tennis,True,False,False,79.7,False,False,way/50981233;way/1169187962;way/1169187963;way/1169187965;way/1169187967,OH
