state,county,footprints,current_tennis,current_hybrid,current_pickleball,current_padel,current_removed,current_unknown,pickleball_courts,pickleball_footprints_uncounted,ever_tennis,tennis_to_hybrid,tennis_or_hybrid_to_pickleball,tennis_or_hybrid_to_padel,tennis_or_hybrid_to_removed,needs_review,reviewed_courts
OH,Adams,2,0,2,0,0,0,0,0,0,2,3,0,0,0,2,0
OH,Athens,20,8,3,2,0,7,0,0,2,12,8,0,0,1,12,0
OH,Auglaize,32,24,0,4,0,4,0,4,2,26,0,2,0,0,13,0
OH,Belmont,12,4,5,2,0,1,0,4,0,11,4,1,0,2,11,0
OH,Brown,19,7,6,5,0,1,0,5,2,14,5,1,0,1,13,0
OH,Butler,274,139,51,32,0,52,0,54,6,237,59,18,0,41,123,0
OH,Carroll,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OH,Champaign,9,6,2,0,0,1,0,0,0,9,2,0,0,2,5,0
OH,Clark,77,48,23,1,0,5,0,0,1,77,28,4,0,5,36,0
OH,Clermont,115,67,7,27,0,14,0,19,12,99,18,24,0,12,74,0
OH,Clinton,39,25,3,7,0,4,0,0,7,37,4,6,0,3,18,0
OH,Columbiana,2,0,1,0,0,1,0,0,0,2,0,0,0,1,2,0
OH,Coshocton,13,7,1,5,0,0,0,8,0,9,1,1,0,0,11,0
OH,Darke,20,16,0,3,0,1,0,3,0,18,0,2,0,0,8,0
OH,Delaware,215,133,35,16,0,31,0,7,10,179,42,8,0,13,129,0
OH,Fairfield,70,45,10,5,0,10,0,4,1,57,11,2,0,0,35,0
OH,Fayette,22,10,3,8,0,1,0,4,4,16,2,3,0,0,14,0
OH,Franklin,810,413,162,95,0,140,0,80,42,656,151,36,0,73,441,0
OH,Gallia,10,5,2,0,0,3,0,0,0,9,3,0,0,4,5,0
OH,Greene,126,67,27,14,0,18,0,5,9,116,28,14,0,12,77,0
OH,Guernsey,7,6,1,0,0,0,0,0,0,7,1,0,0,1,2,0
OH,Hamilton,898,429,165,134,0,170,0,83,72,754,205,135,0,93,542,0
OH,Harrison,3,0,1,1,0,1,0,0,1,1,0,0,0,0,2,0
OH,Highland,14,11,2,0,0,1,0,0,0,14,3,0,0,1,8,0
OH,Hocking,12,6,3,1,0,2,0,1,0,10,1,2,0,0,6,0
OH,Holmes,11,8,2,1,0,0,0,0,1,11,2,1,0,0,3,0
OH,Jackson,19,5,2,1,0,11,0,0,1,9,2,2,0,3,11,0
OH,Jefferson,18,7,5,2,0,4,0,4,0,14,7,0,0,3,10,0
OH,Knox,49,28,7,6,0,8,0,8,0,36,12,1,0,2,22,0
OH,Lawrence,13,0,1,2,0,10,0,6,0,9,5,5,0,6,12,0
OH,Licking,76,47,6,3,0,20,0,5,2,57,5,1,0,4,43,0
OH,Logan,11,7,2,2,0,0,0,4,0,9,5,0,0,0,9,0
OH,Madison,27,11,6,2,0,8,0,4,0,19,7,0,0,2,10,0
OH,Marion,24,15,1,2,0,6,0,2,0,24,0,4,0,6,4,0
OH,Meigs,4,4,0,0,0,0,0,0,0,4,2,0,0,2,4,0
OH,Mercer,21,12,6,1,0,2,0,2,0,19,3,1,0,0,12,0
OH,Miami,70,50,5,6,0,9,0,12,2,60,4,2,0,4,29,0
OH,Monroe,4,3,0,0,0,1,0,0,0,4,0,0,0,1,4,0
OH,Montgomery,452,280,55,52,0,65,0,63,19,411,72,42,0,44,243,0
OH,Morgan,4,1,3,0,0,0,0,0,0,4,3,0,0,0,2,0
OH,Morrow,8,3,0,1,0,4,0,0,1,6,2,1,0,2,5,0
OH,Muskingum,20,1,9,7,0,3,0,4,3,16,10,4,0,2,20,0
OH,Noble,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
OH,Perry,4,0,3,0,0,1,0,0,0,4,3,0,0,3,4,0
OH,Pickaway,21,15,1,2,0,3,0,3,1,19,1,1,0,3,14,0
OH,Pike,8,6,2,0,0,0,0,0,0,8,2,0,0,1,4,0
OH,Preble,21,19,1,1,0,0,0,0,1,21,1,2,0,0,11,0
OH,Richland,3,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0
OH,Ross,12,11,1,0,0,0,0,0,0,12,3,0,0,0,7,0
OH,Scioto,52,26,10,11,0,5,0,10,1,44,23,5,0,9,35,0
OH,Shelby,44,25,2,14,0,3,0,9,5,40,3,12,0,1,14,0
OH,Tuscarawas,28,18,3,3,0,4,0,0,3,26,7,1,0,4,13,0
OH,Union,36,22,8,3,0,3,0,2,1,31,7,0,0,1,18,0
OH,Vinton,6,3,3,0,0,0,0,0,0,6,3,0,0,3,3,0
OH,Warren,236,124,46,20,0,46,0,3,17,199,56,26,0,17,122,0
OH,Washington,35,23,4,1,0,7,0,0,1,35,10,1,0,10,20,0
