court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3852671_-8266865:c001,oh_3852671_-8266865,Lawrence,tennis,removed,2020,2021,0.433,1,True,low_confidence
oh_3852671_-8266865:c002,oh_3852671_-8266865,Lawrence,tennis,hybrid,2015,2016,0.543,1,True,low_confidence
oh_3852671_-8266865:c002,oh_3852671_-8266865,Lawrence,hybrid,removed,2016,2017,0.519,1,True,low_confidence
oh_3852671_-8266865:c002,oh_3852671_-8266865,Lawrence,removed,tennis,2018,2019,0.437,1,True,low_confidence;reversion
oh_3852671_-8266865:c002,oh_3852671_-8266865,Lawrence,tennis,removed,2020,2021,0.366,1,True,low_confidence
oh_3852671_-8266865:c003,oh_3852671_-8266865,Lawrence,tennis,removed,2021,2022,0.637,1,False,
oh_3852671_-8266865:c004,oh_3852671_-8266865,Lawrence,tennis,removed,2021,2022,0.811,1,False,
oh_3853334_-8267546:c001,oh_3853334_-8267546,Lawrence,tennis,removed,2021,2022,0.277,1,True,low_confidence
oh_3853873_-8268786:c001,oh_3853873_-8268786,Lawrence,tennis,removed,2012,2013,0.546,1,True,low_confidence
oh_3853873_-8268786:c001,oh_3853873_-8268786,Lawrence,removed,pickleball,2020,2021,0.533,3,True,low_confidence;reversion
oh_3853873_-8268786:c002,oh_3853873_-8268786,Lawrence,hybrid,tennis,2011,2012,0.582,1,True,low_confidence;reversion
oh_3853873_-8268786:c002,oh_3853873_-8268786,Lawrence,tennis,removed,2012,2013,0.582,1,True,low_confidence
oh_3853873_-8268786:c002,oh_3853873_-8268786,Lawrence,removed,tennis,2013,2018,0.518,1,True,low_confidence;reversion
oh_3853873_-8268786:c002,oh_3853873_-8268786,Lawrence,tennis,pickleball,2020,2021,0.428,3,True,low_confidence
oh_3855592_-8271124:c002,oh_3855592_-8271124,Lawrence,tennis,removed,2012,2013,0.523,1,True,low_confidence
oh_3855592_-8271124:c002,oh_3855592_-8271124,Lawrence,removed,tennis,2015,2016,0.366,1,True,low_confidence;reversion
oh_3855592_-8271124:c002,oh_3855592_-8271124,Lawrence,tennis,removed,2018,2019,0.413,1,True,low_confidence
oh_3855592_-8271124:c003,oh_3855592_-8271124,Lawrence,removed,hybrid,2019,2020,0.421,1,True,low_confidence;reversion
oh_3855592_-8271124:c003,oh_3855592_-8271124,Lawrence,hybrid,removed,2021,2022,0.677,1,False,
oh_3855592_-8271124:c005,oh_3855592_-8271124,Lawrence,removed,hybrid,2019,2020,0.51,1,True,low_confidence;reversion
oh_3855592_-8271124:c005,oh_3855592_-8271124,Lawrence,hybrid,removed,2020,2021,0.382,1,True,low_confidence
oh_3869573_-8310158:c001,oh_3869573_-8310158,Scioto,tennis,removed,2014,2015,0.672,1,False,
oh_3869573_-8310158:c001,oh_3869573_-8310158,Scioto,removed,tennis,2017,2018,0.629,1,True,reversion
oh_3869573_-8310158:c001,oh_3869573_-8310158,Scioto,tennis,hybrid,2022,2023,0.544,1,True,low_confidence
oh_3871971_-8304723:c001,oh_3871971_-8304723,Scioto,tennis,removed,2019,2020,0.777,1,False,
oh_3871971_-8304723:c001,oh_3871971_-8304723,Scioto,removed,tennis,2020,2021,0.56,1,True,low_confidence;reversion
oh_3871971_-8304723:c002,oh_3871971_-8304723,Scioto,tennis,removed,2019,2020,0.671,1,False,
oh_3871971_-8304723:c002,oh_3871971_-8304723,Scioto,removed,tennis,2020,2021,0.505,1,True,low_confidence;reversion
oh_3871971_-8304723:c002,oh_3871971_-8304723,Scioto,tennis,hybrid,2022,2023,0.843,1,False,
oh_3871971_-8304723:c003,oh_3871971_-8304723,Scioto,tennis,removed,2018,2019,0.4,1,True,low_confidence
oh_3871971_-8304723:c003,oh_3871971_-8304723,Scioto,removed,tennis,2020,2021,0.66,1,True,reversion
oh_3872376_-8284629:c001,oh_3872376_-8284629,Scioto,removed,tennis,2017,2018,0.662,1,True,reversion
oh_3872376_-8284629:c002,oh_3872376_-8284629,Scioto,removed,tennis,2017,2018,0.691,1,True,reversion
