court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,tennis,removed,2017,2018,0.377,1,True,low_confidence
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,removed,tennis,2018,2019,0.377,1,True,low_confidence;reversion
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,tennis,removed,2021,2022,0.374,1,True,low_confidence
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,removed,tennis,2022,2023,0.374,1,True,low_confidence;reversion
oh_3908191_-8442032:c001,oh_3908191_-8442032,Hamilton,tennis,removed,2021,2022,0.361,1,True,low_confidence
oh_3908191_-8442032:c001,oh_3908191_-8442032,Hamilton,removed,tennis,2022,2023,0.361,1,True,low_confidence;reversion
oh_3908555_-8459768:c002,oh_3908555_-8459768,Hamilton,tennis,removed,2020,2021,0.544,1,True,low_confidence
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,tennis,hybrid,2012,2013,0.461,1,True,low_confidence
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,hybrid,tennis,2013,2014,0.461,1,True,low_confidence;reversion
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,tennis,hybrid,2019,2020,0.445,1,True,low_confidence
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,hybrid,tennis,2020,2021,0.445,1,True,low_confidence;reversion
oh_3908590_-8462874:c001,oh_3908590_-8462874,Hamilton,tennis,removed,2013,2016,0.626,1,False,
oh_3908590_-8462874:c001,oh_3908590_-8462874,Hamilton,removed,tennis,2016,2018,0.598,1,True,low_confidence;reversion
oh_3908590_-8462874:c001,oh_3908590_-8462874,Hamilton,tennis,removed,2021,2022,0.349,1,True,low_confidence
oh_3908741_-8462895:c001,oh_3908741_-8462895,Hamilton,tennis,removed,2012,2018,0.367,1,True,low_confidence
oh_3909546_-8464147:c001,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2020,0.64,1,False,
oh_3909546_-8464147:c002,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2020,0.653,1,False,
oh_3909546_-8464147:c003,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2019,0.539,1,True,low_confidence
oh_3909546_-8464147:c003,oh_3909546_-8464147,Hamilton,removed,tennis,2020,2021,0.419,1,True,low_confidence;reversion
oh_3909546_-8464147:c003,oh_3909546_-8464147,Hamilton,tennis,removed,2022,2023,0.368,1,True,low_confidence
oh_3909546_-8464147:c004,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2020,0.428,1,True,low_confidence
oh_3909546_-8464147:c004,oh_3909546_-8464147,Hamilton,removed,tennis,2020,2021,0.428,1,True,low_confidence;reversion
oh_3909546_-8464147:c004,oh_3909546_-8464147,Hamilton,tennis,removed,2021,2022,0.535,1,True,low_confidence
oh_3909556_-8456863:c002,oh_3909556_-8456863,Hamilton,tennis,hybrid,2019,2020,0.373,1,True,low_confidence
oh_3909556_-8456863:c002,oh_3909556_-8456863,Hamilton,hybrid,tennis,2020,2021,0.373,1,True,low_confidence;reversion
